NOC,Year,delegation_size,female_ratio,sport_count,total_medals,gold_medals,silver_medals,bronze_medals,sport_hhi,medal_rate,Season,is_host,wb_country,gdp,population,gdp_per_capita,log_gdp,log_population,log_gdp_per_capita,log_delegation_size,log_total_medals
BLR,1994,33,0.4189189189189189,7,2,0,2,0,0.5,0.06060606060606061,Winter,0,Belarus,14931435232.078,10226955.0,1460.007913604587,23.42673457462594,16.140537439661134,7.286197134964807,3.4965075614664802,1.0986122886681098
BLR,1998,59,0.3644859813084112,9,2,0,0,2,0.5,0.03389830508474576,Winter,0,Belarus,15222012660.4232,10071963.0,1511.3253156731414,23.44600841851004,16.125266181149136,7.320742237360904,4.07753744390572,1.0986122886681098
BLR,2002,64,0.3821138211382114,9,1,0,0,1,1.0,0.015625,Winter,0,Belarus,14594900944.7658,9865548.0,1479.3806633717459,23.403938054300085,16.104559245819985,7.299378808480099,4.1588830833596715,0.6931471805599453
BLR,2006,28,0.6,7,1,0,1,0,1.0,0.03571428571428571,Winter,0,Belarus,36961894281.3444,9604924.0,3848.223503001627,24.33315333460742,16.07778644160794,8.255366892999481,3.332204510175204,0.6931471805599453
BLR,2010,47,0.4421052631578947,6,3,1,1,1,0.5555555555555556,0.06382978723404255,Winter,0,Belarus,57231904542.8755,9483836.0,6034.678851772163,24.770377351563923,16.065099433736183,8.705277917827742,3.8501476017100584,1.3862943611198906
BLR,2014,26,0.4166666666666667,5,6,5,0,1,0.5555555555555556,0.23076923076923078,Winter,0,Belarus,78813069120.9984,9448515.0,8341.318092948828,25.090344671847678,16.06136814426455,9.028976527583126,3.258096538021482,1.9459101490553132
BOL,1980,3,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Bolivia,4537479608.48287,5758900.0,787.9073448892792,22.235637542529016,15.566257042212335,6.669380500316682,1.0986122886681098,0.0
BOL,1984,3,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Bolivia,6169483225.35915,6281868.0,982.1096567707488,22.54288091533639,15.653177946443536,6.889702968892853,1.0986122886681098,0.0
BOL,1988,6,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Bolivia,4597612362.2748,6835508.0,672.6072681466835,22.248802954008116,15.737641348714117,6.5111616052939985,1.791759469228055,0.0
BOL,1992,5,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Bolivia,5643868748.68126,7430336.0,759.571134963649,22.453835615649083,15.821081637744133,6.632753977904949,1.6094379124341003,0.0
BRA,1992,7,0.125,1,0,0,0,0,0.0,0.0,Winter,0,Brazil,328187960871.951,154275079.0,2127.290830114895,26.516852332638155,18.85424779424387,7.662604538394284,1.9459101490553132,0.0
BRA,1994,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Brazil,525369851353.742,159265006.0,3298.714918917857,26.98736833027838,18.886080077176626,8.101288253101753,0.0,0.0
BRA,1998,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Brazil,863711007325.493,169159655.0,5105.892461920031,27.484504067536637,18.946353531077243,8.538150536459396,0.0,0.0
BRA,2002,10,0.2,4,0,0,0,0,0.0,0.0,Winter,0,Brazil,509795270685.19,178503484.0,2855.940171370493,26.95727505204114,19.000118677200774,7.957156374840367,2.302585092994046,0.0
BRA,2006,9,0.25,4,0,0,0,0,0.0,0.0,Winter,0,Brazil,1107626711163.23,186653106.0,5934.145618574545,27.733240744206697,19.044762403957908,8.688478340248787,2.1972245773362196,0.0
BRA,2010,5,0.5714285714285714,3,0,0,0,0,0.0,0.0,Winter,0,Brazil,2208838108484.35,193701929.0,11403.28400386942,28.42348775043976,19.081831087026657,9.341656663413104,1.6094379124341003,0.0
BRA,2014,13,0.5882352941176471,7,0,0,0,0,0.0,0.0,Winter,0,Brazil,2456043766032.38,200085127.0,12274.994163021322,28.529572946100426,19.11425346895543,9.415319477144998,2.5649493574615367,0.0
BUL,1960,7,0.2,2,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,,7867374.0,,,15.878234892539831,,1.9459101490553132,0.0
BUL,1964,7,0.5263157894736842,2,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,,8144340.0,,,15.912833765427518,,1.9459101490553132,0.0
BUL,1968,6,0.6875,2,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,,8369603.0,,,15.940117010038488,,1.791759469228055,0.0
BUL,1972,4,0.0,2,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,,8576200.0,,,15.964501482916315,,1.3862943611198906,0.0
BUL,1976,29,0.0,4,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,,8758599.0,,,15.985546518615317,,3.367295829986474,0.0
BUL,1980,8,0.0,3,1,0,0,1,1.0,0.125,Winter,0,Bulgaria,19839230769.2308,8861535.0,2238.8029578657424,23.71092716633934,15.997230558139451,7.713696608199887,2.0794415416798357,0.6931471805599453
BUL,1984,16,0.030303030303030304,5,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,17594944444.4444,8960679.0,1963.5726761827314,23.59087745025231,16.00835656332986,7.58252088692245,2.772588722239781,0.0
BUL,1988,27,0.038461538461538464,7,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,22555941176.4706,8981446.0,2511.3930625948874,23.839264334999605,16.010671451814215,7.82859288318539,3.295836866004329,0.0
BUL,1992,30,0.2361111111111111,7,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,8602887622.63828,8540164.0,1007.3445454488088,22.875363753921935,15.960290769327436,6.9150729845945005,3.4011973816621555,0.0
BUL,1994,17,0.4473684210526316,7,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,9709240033.98973,8443591.0,1149.8946400873433,22.996343849862242,15.948918250017421,7.04742559984482,2.833213344056216,0.0
BUL,1998,19,0.5882352941176471,6,1,1,0,0,1.0,0.05263157894736842,Winter,0,Bulgaria,15031055046.7575,8256786.0,1820.448664499419,23.43338423430605,15.926545965660289,7.506838268645761,2.9444389791664403,0.6931471805599453
BUL,2002,23,0.5185185185185185,7,3,0,1,2,0.5555555555555556,0.13043478260869565,Winter,0,Bulgaria,16403043849.8297,7837161.0,2092.982886255584,23.520732755154274,15.874387209399332,7.646345545754943,3.1354942159291497,1.3862943611198906
BUL,2006,21,0.5681818181818182,8,1,0,1,0,1.0,0.047619047619047616,Winter,0,Bulgaria,34380536495.6739,7601022.0,4523.146557880493,24.260756441656437,15.843793269899995,8.416963171756441,3.044522437723423,0.6931471805599453
BUL,2010,19,0.36585365853658536,6,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,50689051382.4361,7395599.0,6853.9480551117085,24.648975775158814,15.816395651522791,8.832580123636022,2.9444389791664403,0.0
BUL,2014,18,0.2127659574468085,6,0,0,0,0,0.0,0.0,Winter,0,Bulgaria,57080897012.1077,7073572.0,8069.600056676838,24.76773534442995,15.771876143665825,8.995859200764126,2.8903717578961645,0.0
CAN,1960,44,0.32,7,4,2,1,1,0.375,0.09090909090909091,Winter,0,Canada,40563768946.9503,17909356.0,2264.948496581915,24.426141114667473,16.7008338158248,7.725307298842672,3.784189633918261,1.6094379124341003
CAN,1964,55,0.2736842105263158,8,3,1,1,1,0.5555555555555556,0.05454545454545454,Winter,0,Canada,49503663836.3665,19325000.0,2561.638490885718,24.625312520678232,16.77691015243776,7.848402368240474,4.007333185232471,1.3862943611198906
